front,back,deck,tags,source
"罪刑法定主義と犯罪論や労役場留置に関する変更も含まれる）とは？","刑の軽重の判断基準は刑法10条による。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義と犯罪論や労役場留置に関する変更も含まれる）．刑の軽重の判断基準は刑法10条による．"
"【判例の不遡及変更判例の法源としての機能を強調し，処罰化（重罰化）への判例変更は将来に向かって宣言的意味を持つに過ぎず，具体的な事案には適用すべきでないとする主張が見られる（曽根17頁）とは？","だが，このような事情は，先例が確定していた程度，それに対する一般人・被告人の認識等を基礎に，個々の事案における故意論等の判断や量刑において考慮すべきであろう（地公法のあおり罪に関連し最判平81118刑集5010745Ё岩手県教組事件）。","刑法_基本概念","刑法,基本概念,故意","【判例の不遡及変更判例の法源としての機能を強調し，処罰化（重罰化）への判例変更は将来に向かって宣言的意味を持つに過ぎず，具体的な事案には適用すべきでないとする主張が見られる（曽根17頁）．だが，このような事情は，先例が確定していた程度，それに対する一般人・被告人の認識等を基礎に，個々の事案における故意論等の判断や量刑において考慮すべきであろう（地公法のあおり罪に関連し最判平81118刑集50107..."
"刑の廃止と限時法理論的には6条の刑の変更の一態様であるが，いかなる変更が「刑の廃止」となるかの判断は微妙であるとは？","法規の中には，犯罪行為の一部を下位規範に委ね，事情に応じて変更するものも多い（白地刑罰法規⇨11頁）。法規範の細かな変更，下位の法令の変更のすべてを「刑の変更」に当たるとすべきではなく，構成要件の非重要部分の変更や，単に事実関係の変化に過ぎない場合（例えば，駐車禁止規定の禁止区域の変更）は，処罰することが可能である。","刑法_基本概念","刑法,基本概念,構成要件","刑の廃止と限時法理論的には6条の刑の変更の一態様であるが，いかなる変更が「刑の廃止」となるかの判断は微妙である．法規の中には，犯罪行為の一部を下位規範に委ね，事情に応じて変更するものも多い（白地刑罰法規⇨11頁）．法規範の細かな変更，下位の法令の変更のすべてを「刑の変更」に当たるとすべきではなく，構成要件の非重要部分の変更や，単に事実関係の変化に過ぎない場合（例えば，駐車禁止規定の禁止区域の変更）..."
"罪刑法定主義と刑法解釈るとは？","」といった経過規定を置くことが多いが，それがない場合に，この規定と同様の効果（限時法効果）を解釈により認めようとするのが限時法の理論である。特に，構成要件が省令や告示に委ねられ，それらの変更があった場合に問題となるが，法的見解に大きな変更がない限り，刑の廃止には当たらないとされる。","刑法_基本概念","刑法,基本概念,罪刑法定主義,構成要件","罪刑法定主義と刑法解釈る．」といった経過規定を置くことが多いが，それがない場合に，この規定と同様の効果（限時法効果）を解釈により認めようとするのが限時法の理論である．特に，構成要件が省令や告示に委ねられ，それらの変更があった場合に問題となるが，法的見解に大きな変更がない限り，刑の廃止には当たらないとされる．"
"罪刑法定主義の実質化と刑法解釈罪刑法定主義が国民に何が犯罪かを事前に示すことを明確性の理論と合憲的限定解釈要請するものである以上，国民から見て不明確な文言を含む...とは？","最高裁も同理論を認める（最大判昭50910刑集298489Ё徳島市公安条例事件判決）。ただし，①条文の明確性により保護される国民の行動の自由，刑罰権の濫用防止による利益と，②当罰性の高い行為を処罰することにより得られる国民の利益とを比較衡量して判断される。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義の実質化と刑法解釈罪刑法定主義が国民に何が犯罪かを事前に示すことを明確性の理論と合憲的限定解釈要請するものである以上，国民から見て不明確な文言を含む刑罰規定は，憲法31条に違反し無効である（明確性の理論）．最高裁も同理論を認める（最大判昭50910刑集298489Ё徳島市公安条例事件判決）．ただし，①条文の明確性により保護される国民の行動の自由，刑罰権の濫用防止による利益と，②当罰性の..."
"また，不合理な（特に，犯罪に比べて著しく柊衡を失する重い刑罰を規定している，あるいは不当な処罰内容を含むなど）法規を憲法に合致するように限定解釈する合憲的限定解釈が用いられることが多いとは？","具体的には，構成要件の実質的解釈の中に解消される（あんま師等法の「医業類似行為」の解釈につき健康に害のある行為に限定すべきだとした最大判昭35127刑集14133，青少年保護育成条例の「淫行」の解釈につき欺罔，威迫による場合等に限定すべきだとした最判昭601023刑集396413，医師法の「医行為」の解釈につき身体に対する重大な危険性を持つ行為に限定すべきであるとしつつ，コンタクトレンズ処方のための検眼等がこれに当たるとした最決平9930刑集518671（⇨142頁），広島市暴走族追放条例16条1項1号にいう「集会」は，暴走行為を目的として結成された集団である本来的な意味における暴走族の外，服装，旗，言動などにおいてこのような暴走族に類似し社会通念上これと同視することができる集団によって行われるものに限定されると解され，このように解釈すれば憲法21条1項，31条に違反しないとした最決平19918刑集616601，観賞ないしは記念のための品として作成された家系図は，行政書士法1条の2第1項にいう「事実証明に関する文書」に当たらないとした最決平221220刑集6481291等がある）。","刑法_基本概念","刑法,基本概念,構成要件","また，不合理な（特に，犯罪に比べて著しく柊衡を失する重い刑罰を規定している，あるいは不当な処罰内容を含むなど）法規を憲法に合致するように限定解釈する合憲的限定解釈が用いられることが多い．具体的には，構成要件の実質的解釈の中に解消される（あんま師等法の「医業類似行為」の解釈につき健康に害のある行為に限定すべきだとした最大判昭35127刑集14133，青少年保護育成条例の「淫行」の解釈につき欺罔，威迫..."
"罪刑法定主義と犯罪論刑罰法規の適用に際し，法規を超えた事実について他の規類推解釈と拡張解釈定から類推して犯罪の成立を認めることは許されない（類推解釈の禁止）とは？","いかに法文を明確に定めても，解釈によりその枠を超えてしまっては無意味だからである。だが，刑罰法規も，具体的適用に際して裁判官の目的的・合理的解釈による補充が当然必要となる。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義と犯罪論刑罰法規の適用に際し，法規を超えた事実について他の規類推解釈と拡張解釈定から類推して犯罪の成立を認めることは許されない（類推解釈の禁止）．いかに法文を明確に定めても，解釈によりその枠を超えてしまっては無意味だからである．だが，刑罰法規も，具体的適用に際して裁判官の目的的・合理的解釈による補充が当然必要となる．"
"【犯罪地犯罪地が国内である」ためには犯罪構成要件の一部が日本国内で生ずれば足りる（偏在説とは？","例えば，賄賂の申込を国内で行い，賄賂を国外で手渡した場合，全体を包括して国内犯と解する）が，予備的行為のみをわが国で行った場合には，国内犯でない（予備処罰があれば予備罪が適用される）。狭義の共犯については，教唆・幇助行為が国内で行われた場合のほか，正犯行為が国内で行われた場合に，共犯者全員にわが国の刑法が適用される（幇助行為が国外で，正犯行為が国内でなされた場合につき，最決平6129刑集。","刑法_基本概念","刑法,基本概念,構成要件,共犯","【犯罪地犯罪地が国内である」ためには犯罪構成要件の一部が日本国内で生ずれば足りる（偏在説．例えば，賄賂の申込を国内で行い，賄賂を国外で手渡した場合，全体を包括して国内犯と解する）が，予備的行為のみをわが国で行った場合には，国内犯でない（予備処罰があれば予備罪が適用される）．狭義の共犯については，教唆・幇助行為が国内で行われた場合のほか，正犯行為が国内で行われた場合に，共犯者全員にわが国の刑法が適用..."
"罪刑法定主義と刑法解釈罪，殺人罪，強盗・窃盗罪などの比較的重い犯罪について，日本国民の国外犯につき刑法の適用があるとする（日本人の国外犯）とは？","また，刑法4条は，職権濫用罪，賄賂罪などの公務員犯罪につき，日本の公務員の国外犯を処罰する（公務員の国外犯）。","刑法_基本概念","刑法,基本概念,罪刑法定主義","罪刑法定主義と刑法解釈罪，殺人罪，強盗・窃盗罪などの比較的重い犯罪について，日本国民の国外犯につき刑法の適用があるとする（日本人の国外犯）．また，刑法4条は，職権濫用罪，賄賂罪などの公務員犯罪につき，日本の公務員の国外犯を処罰する（公務員の国外犯）．"
"犯罪の実質（1）ИЙ違法性犯罪は，法律に「刑罰を科す」と定められた行為である（罪犯罪の実質的要件刑法定主義⇨10頁）とは？","より実質的には，①客観的に処罰に値するだけの害悪が存在し（違法性），②主観的に，行為者に，その行為につき非難が可能であること（責任⇨18頁）が必要である。","刑法_基本概念","刑法,基本概念,違法性","犯罪の実質（1）ИЙ違法性犯罪は，法律に「刑罰を科す」と定められた行為である（罪犯罪の実質的要件刑法定主義⇨10頁）．より実質的には，①客観的に処罰に値するだけの害悪が存在し（違法性），②主観的に，行為者に，その行為につき非難が可能であること（責任⇨18頁）が必要である．"
"違法性の意義犯罪は，まず，刑罰を用いてまで禁圧する必要のある（つまり処罰に値する）「悪い行為」でなければならないとは？","この行為の「悪さ」を違法性と呼ぶ。違法行為は，害悪を生じさせる行為であり，より厳密には「法益（刑法により保護すべき利益）の侵害およびその危険（一定程度以上の侵害の可能性）を生じさせる行為」と定義できる（法益侵害説）。","刑法_基本概念","刑法,基本概念,違法性","違法性の意義犯罪は，まず，刑罰を用いてまで禁圧する必要のある（つまり処罰に値する）「悪い行為」でなければならない．この行為の「悪さ」を違法性と呼ぶ．違法行為は，害悪を生じさせる行為であり，より厳密には「法益（刑法により保護すべき利益）の侵害およびその危険（一定程度以上の侵害の可能性）を生じさせる行為」と定義できる（法益侵害説）．"
"これに対し，法規範違反説は，違法性を「法規範（法秩序）違反」であるとするとは？","法規範（法秩序）違反とは，道義秩序に違反し，社会的相当性を欠くこと，つまり倫理的逸脱と考えてよい。","刑法_基本概念","刑法,基本概念,違法性","これに対し，法規範違反説は，違法性を「法規範（法秩序）違反」であるとする．法規範（法秩序）違反とは，道義秩序に違反し，社会的相当性を欠くこと，つまり倫理的逸脱と考えてよい．"
"客観的違法論法益侵害説は，利益が客観的に侵害されたかを重視するので，違法性は，原則として客観的に決まるとは？","それに対して法規範違反説は，倫理・道徳を重視する結果，犯人の主観的事情も，違法性に影響すると考えやすい。","刑法_基本概念","刑法,基本概念,違法性","客観的違法論法益侵害説は，利益が客観的に侵害されたかを重視するので，違法性は，原則として客観的に決まる．それに対して法規範違反説は，倫理・道徳を重視する結果，犯人の主観的事情も，違法性に影響すると考えやすい．"
"犯罪理論体系の概観な責任無能力者には違法行為は認められないとする説もあった（主観的違法論）とは？","しかし，現在のわが国では，一般に違法性と責任とは分けて考えるべきで，客観的に法に反する行為は誰が行っても違法であるとする（客観的違法論）。","刑法_基本概念","刑法,基本概念,違法性","犯罪理論体系の概観な責任無能力者には違法行為は認められないとする説もあった（主観的違法論）．しかし，現在のわが国では，一般に違法性と責任とは分けて考えるべきで，客観的に法に反する行為は誰が行っても違法であるとする（客観的違法論）．"
"主観的客観的判断対象内心外部的行為・結果判断基準本人一般人客観的違法論によれば，客観的・外部的な対象についての評価が違法性で，主観的・内心的（個別的）事情についての判断が責任となるとは？","ところが，現在のわが国の客観的違法論の中には「違法評価の基準は客観的だが，評価の対象は客観・主観の両面を含む」とし，主観的（内心的）事情も違法性に影響するとする見解も有力である（大谷234頁，佐久間166頁）。","刑法_基本概念","刑法,基本概念,違法性","主観的客観的判断対象内心外部的行為・結果判断基準本人一般人客観的違法論によれば，客観的・外部的な対象についての評価が違法性で，主観的・内心的（個別的）事情についての判断が責任となる．ところが，現在のわが国の客観的違法論の中には「違法評価の基準は客観的だが，評価の対象は客観・主観の両面を含む」とし，主観的（内心的）事情も違法性に影響するとする見解も有力である（大谷234頁，佐久間166頁）．"
"【裁判規範と行為規範刑法は生じた犯罪を裁くための基準だと考えれば（裁判規範），結果から遡って考察していくことになりやすく，違法性判断も客観化するとは？","それに対し，刑法は国民に行動の規範を示すものであると考えれば（行為規範），内心に働きかけることが重要で，判断は主観化する。","刑法_基本概念","刑法,基本概念,違法性","【裁判規範と行為規範刑法は生じた犯罪を裁くための基準だと考えれば（裁判規範），結果から遡って考察していくことになりやすく，違法性判断も客観化する．それに対し，刑法は国民に行動の規範を示すものであると考えれば（行為規範），内心に働きかけることが重要で，判断は主観化する．"
"行為無価値刑法の裁判規範性を重視し，結果発生の時点から遡って違法性を判断する考え方で，客観的違法論と結びつくとは？","これに対し，違法性判断においても倫理・道徳を重視すると，「悪い行為，悪い内心が違法性の根拠である」という行為無価値論に至る。しかも同説では，「行為」以上に，故意などの主観面が違法性判断に重要な意味を持つと考える。","刑法_基本概念","刑法,基本概念,違法性,故意","行為無価値刑法の裁判規範性を重視し，結果発生の時点から遡って違法性を判断する考え方で，客観的違法論と結びつく．これに対し，違法性判断においても倫理・道徳を重視すると，「悪い行為，悪い内心が違法性の根拠である」という行為無価値論に至る．しかも同説では，「行為」以上に，故意などの主観面が違法性判断に重要な意味を持つと考える．ただ，わが国では行為無価値論といっても，行為無価値・結果無価値の両方が必"
"犯罪の実質（2）ИЙ有責性責任主義の原則いかに重要な法益を侵害しても，責任がなければ刑罰を科すことはできない（責任主義）とは？","日本では，性格責任論は劣勢で，責任は道義的責任を中心に説明される（⇨7頁）。","刑法_基本概念","刑法,基本概念,有責性","犯罪の実質（2）ИЙ有責性責任主義の原則いかに重要な法益を侵害しても，責任がなければ刑罰を科すことはできない（責任主義）．日本では，性格責任論は劣勢で，責任は道義的責任を中心に説明される（⇨7頁）．"
"【厳格責任英米法系では厳格責任（strictliability）ないし，絶対責任（ab-soluteliability）という形で，無過失処罰が認められてきたとは？","しかし，英米でも責任主義の観点から批判が強く，それらの具体例は減少している。","刑法_基本概念","刑法,基本概念,過失","【厳格責任英米法系では厳格責任（strictliability）ないし，絶対責任（ab-soluteliability）という形で，無過失処罰が認められてきた．しかし，英米でも責任主義の観点から批判が強く，それらの具体例は減少している．"
"犯罪論体系の発展犯罪論体系犯罪とは，違法で有責性の認められる行為であるとは？","しかし，その行為は刑法（特別刑法も含む）の各条文に当てはまるものでなければならない。そこで，犯罪とは構成要件に該当し，違法で有責な行為と定義されるのである。","刑法_基本概念","刑法,基本概念,構成要件,違法性,有責性","犯罪論体系の発展犯罪論体系犯罪とは，違法で有責性の認められる行為である．しかし，その行為は刑法（特別刑法も含む）の各条文に当てはまるものでなければならない．そこで，犯罪とは構成要件に該当し，違法で有責な行為と定義されるのである．犯罪の理論は，構成要件と違法性と責任の関係をどのように理解するかが中心であった．"
"現在の犯罪論体系の土台はドイツにおいて，20世紀初頭に完成されたと説明されることが多いとは？","三分説と呼ばれ，構成要件，違法性，責任の三者は相互に切り離された別個の要件とされた（この体系を完成させたのがベーリング（18661932）である）。そして，罪刑法定主義を重視し，刑罰法規の示す「犯罪類型」，「定型」を構成要件と呼び，それは，国民一般からみて明確。","刑法_基本概念","刑法,基本概念,罪刑法定主義,構成要件,違法性","現在の犯罪論体系の土台はドイツにおいて，20世紀初頭に完成されたと説明されることが多い．三分説と呼ばれ，構成要件，違法性，責任の三者は相互に切り離された別個の要件とされた（この体系を完成させたのがベーリング（18661932）である）．そして，罪刑法定主義を重視し，刑罰法規の示す「犯罪類型」，「定型」を構成要件と呼び，それは，国民一般からみて明確"
"罪刑法定主義と犯罪論でなければならず，法律的価値評価から独立した客観的，記述的，没価値的類型でなければならないとされたため，解釈の余地の生ずる規範的要素，主観的要素は構成要件から排除されたとは？","そして，構成要件と違法性とは峻別され，ある行為が構成要件に該当しても，必ずしも違法であるとは限らないとされた。構成要件は，責任とも明確に区別され，さらに違法性と責任も，その判断対象が客観的なものか主観的なものかにより峻別された。","刑法_基本概念","刑法,基本概念,罪刑法定主義,構成要件,違法性","罪刑法定主義と犯罪論でなければならず，法律的価値評価から独立した客観的，記述的，没価値的類型でなければならないとされたため，解釈の余地の生ずる規範的要素，主観的要素は構成要件から排除された．そして，構成要件と違法性とは峻別され，ある行為が構成要件に該当しても，必ずしも違法であるとは限らないとされた．構成要件は，責任とも明確に区別され，さらに違法性と責任も，その判断対象が客観的なものか主観的なものか..."
"しかし，構成要件と違法性を完全に切り離すことは，実際に構成要件の実質化は非常に難しいとは？","まず，わいせつ物に関する罪を想定すればわかるように，裁判官の評価を加えなければその意味を確定できない規範的構成要件要素が存在することは，認めざるを得ない。そして，目的犯の目的のように，主観的事情が構成要件に含まれていることも否定できない。","刑法_基本概念","刑法,基本概念,構成要件,違法性,正当防衛","しかし，構成要件と違法性を完全に切り離すことは，実際に構成要件の実質化は非常に難しい．まず，わいせつ物に関する罪を想定すればわかるように，裁判官の評価を加えなければその意味を確定できない規範的構成要件要素が存在することは，認めざるを得ない．そして，目的犯の目的のように，主観的事情が構成要件に含まれていることも否定できない．そこで，構成要件に該当する行為（例えば人を殺す行為）は，違法性と無関係ではあ..."
"【主観的超過要素原則として違法性は客観的，責任は主観的なものであるが，目的犯（⇨22頁）の場合，その犯罪類型に必要な目的（主観的事情）がなければ構成要件該当性判断ができないとは？","また，未遂犯における故意も，それを考慮しなければ何罪に当たるか（例えば殺人か傷害か）が判定できない。そこで，客観的犯罪事実が存在し，それに対応する認識がある場合には，主観面が違法性に影響することはないが，客観的事実が存在せず主。","刑法_基本概念","刑法,基本概念,構成要件,違法性,故意,未遂犯","【主観的超過要素原則として違法性は客観的，責任は主観的なものであるが，目的犯（⇨22頁）の場合，その犯罪類型に必要な目的（主観的事情）がなければ構成要件該当性判断ができない．また，未遂犯における故意も，それを考慮しなければ何罪に当たるか（例えば殺人か傷害か）が判定できない．そこで，客観的犯罪事実が存在し，それに対応する認識がある場合には，主観面が違法性に影響することはないが，客観的事実が存在せず主"
"犯罪理論体系の概観観的事情のみが犯罪要件とされている場合（目的や未遂の故意のような，客観的事情を超えた主観的超過要素）には，その主観的超過部分に違法性の根拠を求めざるを得ないとする見解が有力となったとは？","そして，超過要素だけでなく（既遂犯の場合も含めた）故意等の主観的事情一般が違法性に影響を及ぼす違法要素であるとする主張までも登場してくることにもなる（行為者の人的事情こそが違法性判断において重要であるとした人的違法論）。","刑法_基本概念","刑法,基本概念,違法性,故意","犯罪理論体系の概観観的事情のみが犯罪要件とされている場合（目的や未遂の故意のような，客観的事情を超えた主観的超過要素）には，その主観的超過部分に違法性の根拠を求めざるを得ないとする見解が有力となった．そして，超過要素だけでなく（既遂犯の場合も含めた）故意等の主観的事情一般が違法性に影響を及ぼす違法要素であるとする主張までも登場してくることにもなる（行為者の人的事情こそが違法性判断において重要である..."
"客観的構成要件は違法行為の類型であるとは？","現在でも，構成要件の罪刑法定主義機能（どの行為が処罰されるかを明示する機能）を重視し，違法性判断と切り離された客観的で記述的な行為の型と考える説もあるが，構成要件該当性判断により「犯罪行為」であることに関し，一定の判別を行うことが必要である（犯罪個別化機能）。例えば，「砂一粒盗んでも窃盗罪の構成要件に該当する」というような形式的構成要件該当性判断を行えば，これを不処罰とするためには，「一粒では窃盗罪として処罰に値する違法性がない」という実質的違法性判断を別個に行わなくてはならない。","刑法_基本概念","刑法,基本概念,罪刑法定主義,構成要件,違法性","客観的構成要件は違法行為の類型である．現在でも，構成要件の罪刑法定主義機能（どの行為が処罰されるかを明示する機能）を重視し，違法性判断と切り離された客観的で記述的な行為の型と考える説もあるが，構成要件該当性判断により「犯罪行為」であることに関し，一定の判別を行うことが必要である（犯罪個別化機能）．例えば，「砂一粒盗んでも窃盗罪の構成要件に該当する」というような形式的構成要件該当性判断を行えば，これ..."
"構成要件に該当しても，例外的に正当化（違法性阻却）される余地はある（⇨84頁）とは？","その典型例が，正当防衛である。「人を殺したといえるか」と「正当防衛で殺したといえるか」は，別個の判断で，原則（構成要件該当性）と例外（違法性阻却）の関係に立つ。","刑法_基本概念","刑法,基本概念,構成要件,違法性,正当防衛","構成要件に該当しても，例外的に正当化（違法性阻却）される余地はある（⇨84頁）．その典型例が，正当防衛である．「人を殺したといえるか」と「正当防衛で殺したといえるか」は，別個の判断で，原則（構成要件該当性）と例外（違法性阻却）の関係に立つ．"
"例えば，目的犯で目的を考慮せずに構成要件該当性を判断することは許されない（⇨22頁）とは？","また，未遂犯は故意の有無の判断が決定的に重要である。目的や未遂犯の故意は，主観的違法要素ではないが，責任を基礎づ。","刑法_基本概念","刑法,基本概念,構成要件,故意,未遂犯","例えば，目的犯で目的を考慮せずに構成要件該当性を判断することは許されない（⇨22頁）．また，未遂犯は故意の有無の判断が決定的に重要である．目的や未遂犯の故意は，主観的違法要素ではないが，責任を基礎づ"
"罪刑法定主義と犯罪論ける要素として主観的構成要件要素を構成するとは？","構成要件は「違法で有責な行為の類型」だからである。","刑法_基本概念","刑法,基本概念,罪刑法定主義,構成要件","罪刑法定主義と犯罪論ける要素として主観的構成要件要素を構成する．構成要件は「違法で有責な行為の類型」だからである．"
"さらに，既遂犯における「故意」も，犯罪類型を個別化・特定するものとして，構成要件要素であるとは？","行為者の主観を問題にしなければ，何罪の構成要件に該当するかが判別できないからである（殺人罪と過失致死罪は，客観面は同一でも，構成要件は異なる）。このように，主観的構成要件要素は犯罪の成立に不可欠である。","刑法_基本概念","刑法,基本概念,構成要件,違法性,故意,過失","さらに，既遂犯における「故意」も，犯罪類型を個別化・特定するものとして，構成要件要素である．行為者の主観を問題にしなければ，何罪の構成要件に該当するかが判別できないからである（殺人罪と過失致死罪は，客観面は同一でも，構成要件は異なる）．このように，主観的構成要件要素は犯罪の成立に不可欠である．しかし，重要なのはこれらの主観的事情が，違法要素でなく，責任要素であるという点である．主観のいかんにより，..."
"犯罪の成否を判断するには，まず，構成要件に当てはまる例外としての阻却事由か否かを検討しなければならないとは？","ただ，構成要件という原則類型に該当したとしても，前述のように例外的に処罰を否定すべき特別な場合がある。例えば，殺人は類型的に悪い行為であるが，襲われたのでやむを得ず防衛した場合は処罰すべきでない。","刑法_基本概念","刑法,基本概念,構成要件,違法性","犯罪の成否を判断するには，まず，構成要件に当てはまる例外としての阻却事由か否かを検討しなければならない．ただ，構成要件という原則類型に該当したとしても，前述のように例外的に処罰を否定すべき特別な場合がある．例えば，殺人は類型的に悪い行為であるが，襲われたのでやむを得ず防衛した場合は処罰すべきでない．そしてこのような例外事情も，①違法性と②責任それぞれが否定される場合が考えられる．違法性の否定が，客..."
